Hmax_(One),AUW
13000.0,2050.0
12300.0,1350.0
16000.0,1300.0
13000.0,1300.0
12500.0,1220.0
11000.0,1250.0
14500.0,6315.0
12900.0,6000.0
8800.0,6000.0
8800.0,6000.0
10800.0,5700.0
6300.0,5500.0
15821.745377072852,5200.0
10186.534494733743,6300.0
6333.745674683637,5200.0
14500.0,4500.0
16984.02727175613,3150.0
14422.561281296865,5200.0
14500.0,4500.0
14000.0,4500.0
11500.0,3750.0
10250.0,3750.0
8500.0,3750.0
7000.0,3600.0
17300.0,1450.0
16000.0,1400.0
13500.0,1400.0
12000.0,1320.0
14704.835879781434,16000.0
8000.0,12500.0
21577.54401547784,9200.0
22036.934145075003,9200.0
16880.47088913316,7860.0
15063.737786626609,7860.0
25192.761928145286,7800.0
22887.469956411773,7300.0
26969.048143659955,7000.0
22218.560693638992,7300.0
21572.4508256892,7000.0
17200.0,1800.0
16000.0,1800.0
17988.147599834225,2150.0
17000.0,1650.0
18100.0,1650.0
17000.0,1650.0
17000.0,1650.0
16000.0,1800.0
12000.0,1650.0
15500.0,1450.0
8500.0,1220.0
4250.0,3800.0
13800.0,2400.0
12650.0,2200.0
12650.0,2200.0
12750.0,1560.0
13750.0,1500.0
15000.0,1320.0
20000.0,1800.0
15000.0,6000.0
15000.0,6000.0
15000.0,6000.0
25000.0,6000.0
25000.0,6000.0
28000.0,6000.0
15622.958583683305,1320.0
26000.0,15780.0
28000.0,12500.0
18300.0,14400.0
35000.0,15000.0
24150.0,15000.0
22878.0,14000.0
35000.0,12590.0
26000.0,12500.0
21735.0,12500.0
19150.0,12500.0
9300.0,11800.0
9300.0,11500.0
11800.0,10600.0
15300.0,10950.0
14419.0,10950.0
14390.0,10100.0
15591.0,10100.0
15050.0,9650.0
19170.0,10100.0
14100.0,9650.0
17700.0,9300.0
17700.0,9000.0
11800.0,8800.0
11800.0,8800.0
11800.0,8800.0
13400.0,8500.0
12100.0,8000.0
14900.0,8200.0
15500.0,7700.0
